Date_Extracted,Grade_Level,Unit,Resource,Location,Instructional_Moment,Page_Numbers,Improvement_Description,Improvement_Type,Date_Updated
2025-12-06,Grade 1,Unit 2,Teacher Guide,"Section A, Lesson 3, Activity 2, Student Task Statement, Problem 1",,177,"The sample response now includes the missing label '5', so that the blocks for 'Mia's 5 books' appear with the correct labeling, ranging from '1 to 5'.",,2025-11-20
2025-12-06,Grade 1,Unit 3,Teacher Guide,"Section A, Lesson 1, Activity 2",,23,"""Groups of 2"" has been removed from the Launch, as the activity is Independent.",,2025-08-15
2025-12-06,Grade 1,Unit 3,"Student Workbook, Section B, Practice Problem 1",,,70,"Practice Problem 1 is labeled as from Unit 1, Lesson 1. It has been updated as from Unit 1, Lesson 8.",,2025-08-15
2025-12-06,Grade 1,Unit 3,Teacher Guide,"Section B, Lesson 11, Activity 2",,100,"The student sample response to problem 4 is unclear. It has been updated to "" 4+4=8 and 10 more is 18.""",,2025-09-11
2025-12-06,Grade 1,Unit 3,Teacher Guide,"Section D, Lesson 25, Activity 1",,203,The teacher narrative says to monitor for students who take away 3 for 19−3=80 . 80 has been updated to 16.,,2025-09-11
2025-12-06,Grade 1,Unit 3,Teacher Guide,"Section C, Lesson 17, Activity 1 And",,143,The Materials To Gather section has been updated to say Number Cards 0-10.,,2025-12-02
2025-12-06,Grade 1,Unit 4,"Teacher Resource Pack, Center Materials, Write Numbers Stage 2 Gameboard",,,,"For Lesson 12, Activity 1, the Write Numbers Stage 2 Gameboard has been updated to reflect Counting by 10 and the correct number of spaces between the first and last numbers.",,2025-01-13
2025-12-06,Grade 1,Unit 4,Teacher Guide,"End-of-unit Assessment, Problem 4",,448,"Problem 4 has been updated to 31 __ 31, instead of 31 __ 831.",,2025-08-15
2025-12-06,Grade 1,Unit 4,Teacher Guide,"Section B, Lesson 7",,306,"In Materials to Gather, you need Number Cards 0-10, not 0-1.",,2025-09-19
2025-12-06,Grade 1,Unit 5,"Teacher Resource Pack, Section B, Lesson 9 Cool-down",,,13,"The title of the Cool-down is incorrect and has been updated from ""Write Fractions"" to ""Find the Value.""",,2025-08-15
2025-12-06,Grade 1,Unit 5,Teacher Guide/teacher Resource Pack/student Workbook,"End-of-unit Assessment, Problem 4.",,18,"The sentence has been updated to ""Jada adds the ones.""",,2025-08-15
2025-12-06,Grade 1,Unit 6,"Teacher Resource Pack, End-of-unit Assessment, Trp, Problem 3",,,102,"The sentence has been updated for clarity, to ""A noodle is shorter than the pencil.""",,2025-08-15
2025-12-06,Grade 1,Unit 6,Teacher Guide,"End-of-unit Assessment, Teacher Guide, Problem 3",,293,"The sentence has been updated for clarity, to ""A noodle is shorter than the pencil.""",,2025-08-15
2025-12-06,Grade 1,Unit 6,"Teacher Resource Pack, Blackline Master",,,81,Rectangle has been updated to measure 9 small paper clips when printed.,,2025-08-15
2025-12-06,Grade 1,Unit 7,Teacher Guide,"End-of-unit Assessment, Problem 6a",,171,The student response has been updated to 4:30.,,2025-08-15
2025-12-06,Grade 1,Unit 7,"Student Workbook, Section A, Lesson 5",,,13,Center Day on the footer of the page has been updated to Lesson 8.,,2025-10-09
2025-12-06,Grade 2,Unit 1,"Student Workbook, Section A. Pre-unit Practice Problem 2",,,27,Table has been adjusted to say Favorite Magical Power (not Favourite).,,2025-08-28
2025-12-06,Grade 2,Unit 1,"Student Workbook, Section A, Pre-unit Practice Problem 3",,,28,The number answers have been removed from the table.,,2025-08-28
2025-12-06,Grade 2,Unit 1,Teacher Guide,"Section A, Lesson 6, Warm-up",,50,"The student response for C has removed the 15+25 at the beginning of the equation. 40:25+10=35,35+5=40 .",,2025-10-09
2025-12-06,Grade 2,Unit 1,Teacher Guide,"Section A, Lesson 3, Activity 2",,35,"The sample student response for problem 3 has been updated to 6+4=10,10+10=20,4+10=14 .",,2025-11-10
2025-12-06,Grade 2,Unit 2,Teacher Guide,"Section A, Lesson 1, Warm-up",,183,"The image for Which Three Go Together Item D is correct on the ILC and incorrect in print. This has no impact on facilitating the routine as how the bars are labeled has no impact on students interpreting how this image is the same as, or different than, the 3 other images,",,2024-12-03
2025-12-06,Grade 2,Unit 2,Teacher Guide,"Section A, Lesson 2, Warm-up, Paragraph 1, Line 6",,191,"There is an incorrect number of tens in the Warm-up Narrative. It has been updated to ""For example, students may notice that the numbers across each row change by 1 ten and change by 5 tens in each column.""",,2025-08-15
2025-12-06,Grade 2,Unit 2,Teacher Guide,"Section C, Lesson 14, Activity 1",,294,"The teacher script should say ""Read each problem with your partner and solve it on your own. Show your thinking using drawings, numbers, and words.",,2025-09-08
2025-12-06,Grade 2,Unit 2,Teacher Guide,"Section C, Practice Problem 1b",,319,"Question 1b has been updated to ask ""How many comic books were on the shelf at first?""",,2025-09-08
2025-12-06,Grade 2,Unit 2,Student Guide,"Section C, Practice Problem 1b",,85,"Question 1b has been updated to ask ""How many comic books were on the shelf at first?""",,2025-09-08
2025-12-06,Grade 2,Unit 3,Teacher Guide,"Section B, Lesson 9 Cool-down",,93,The Cool-down has been updated to reflect the correct standard alignment. The Cool-down was 2.OA.B.2 and is now aligned with 2.MD.A.3 .,,2025-08-15
2025-12-06,Grade 2,Unit 3,Teacher Guide,"Section B, Lesson 13",,115,The breadcrumbs at the top of page 115 incorrectly show that a Cool-down is in this lesson. There is no Cool-down for Lesson 13.,,2025-08-15
2025-12-06,Grade 2,Unit 3,"Spanish Student Workbook, Lesson 16, Activity 2, Problem 4",,,,The number line incorrectly has 28 marked twice. This has been fixed in Spanish Digital.,,2025-08-15
2025-12-06,Grade 2,Unit 3,Teacher Guide,"Section A, Lesson 2, Activity 2",,26,The measurement answers for e and f are incorrect. They have been updated to reflect e. 9 and f. 16.,,2025-08-15
2025-12-06,Grade 2,Unit 3,"Student Workbook, Section A, Lesson 2, Activity 2, Problem 1",,,9,"Two additional sub-questions (e. and f.) for Activity 2, Problem 1 have been added.",,2025-11-19
2025-12-06,Grade 2,Unit 3,Teacher Guide,"Section A, Lesson 6, Activity 1, Problem 1 And 2",,54-55,"Part A of each problem should be part of the problem stem. There should be no part D. This matters when using MLR6: Three Reads. B becomes A, C becomes B, and D becomes C in the digital update.",,2025-09-11
2025-12-06,Grade 2,Unit 3,"Student Workbook, Section A, Lesson 6, Activity 1, Problem 1 And 2",,,24-25,"Part A of each problem should be part of the problem stem. There should be no part D. This matters when using MLR6: Three Reads. B becomes A, C becomes B, and D becomes C in the digital update.",,2025-09-11
2025-12-06,Grade 2,Unit 3,"Teacher Resource Pack, Blackline Masters, Lesson 3, Activity 2:, Measure With 10-centimeter Tools Handout",,,7,The animals are now labeled a-f.,,2025-11-20
2025-12-06,Grade 2,Unit 4,Teacher Guide,"Section B, Lesson 8, Activity 1, Problem 3",,242,The image has been updated to include 4 tick marks between 40 and 45.,,2025-08-15
2025-12-06,Grade 2,Unit 4,"Student Workbook, Section B, Lesson 8, Activity 1, Problem 3",,,38,The image has been updated to include 4 tick marks between 40 and 45.,,2025-08-15
2025-12-06,Grade 2,Unit 4,"Teacher Resource Pack, Blackline Master.",,,94,Card M has been updated to 63 - ? = 37,,2025-08-15
2025-12-06,Grade 2,Unit 4,Teacher Guide,"Section B, Lesson 7, Activity 1, Problem 4b",,235,The image of the frog jumping on the number line has been removed. It has nothing to do with the problem.,,2025-09-19
2025-12-06,Grade 2,Unit 4,"Student Workbook, Section B, Lesson 7, Activity 1, Problem 4b",,,33,The image of the frog jumping on the number line has been removed. It has nothing to do with the problem.,,2025-09-19
2025-12-06,Grade 2,Unit 5,"Teacher Resource Pack, Section B, Lesson 8 Cool-down, Problem 1b",,,12,The number line for 1a is not labeled correctly. It has been updated and labeled as 100.,,2025-08-15
2025-12-06,Grade 2,Unit 5,"Student Workbook, Section B, Practice Problems, Problem 6a",,,70,The number line is missing the number 155.,,2025-09-19
2025-12-06,Grade 2,Unit 6,"Teacher Resource Pack, Blackline Masters, Lesson 11, Activity 2:, Halves And Quarters Cards",,,72,The time on Card D should read as 2 o'clock. The digital version of the Blackline Master (Card Sort Halves and Quarters Cards) as well as any digital components (Student task statement) have been updated to reflect this change.,,2024-08-15
2025-12-06,Grade 2,Unit 6,"Teacher Resource Pack, Blackline Masters, Lesson 12, Activity 1:, Count By 5 On The Clock Cards",,,74,The time on Card C should read as 8 o'clock. The digital version of this Blackline Master (Count by 5 on the Clock Cards) as well as any digital components (Student Task Statement) have been updated to reflect this change.,,2024-08-15
2025-12-06,Grade 2,Unit 6,"Student Workbook, Section A, Lesson 3, Activity 1, Problem 2a",,,17,The rhombus has been updated to show 4 equal sides and is scaled correctly.,,2025-10-01
2025-12-06,Grade 2,Unit 6,"Student Workbook, Section D, Lesson 19, Activity 1, Problem 4",,,127,"The second part of the problem has been updated to ask ""How much money does Diego get for his birthday?""",,2025-10-01
2025-12-06,Grade 2,Unit 6,"Student Workbook, Section E, Lesson 20, Activity 2, Problem 1b",,,135,"The problem stem has been updated to ""Jada buys a pencil box and 2 colored pencils.""",,2025-10-01
2025-12-06,Grade 2,Unit 8,Teacher Guide,"Section A, Lesson 1, Activity 2",,203,"Student workbook in the sidebar is mis-numbered. Student book, problems 1-3 (page 6) align to problem 1 in the TE, problem 4 (page 7) aligns to problem 2 in the TE, and problem 5 (page 7) aligns to problem 3 in the TE. The Student Task Statement pdf has been updated under Materials. Student Workbook has been updated online to reflect the changes.",,2024-07-31
2025-12-06,Grade 2,Unit 8,"Student Workbook, Section A, Lesson 3, Activity 2",,,6,Student workbook is misnumbered. Student book page 18 is labeled 3 and 4 and should be labeled 1 and 2. The Student Task Statement pdf has been updated under Materials. Student Workbook has been updated online to reflect the changes.,,2024-07-31
2025-12-06,Grade 3,Unit 1,"Teacher Resource Pack, Lesson 10 Activity 2, Card Sort: Equals Groups Cards",,,6,Card H in the Card Sort Equal Groups Cards now shows 4 groups of 3.,,2024-09-19
2025-12-06,Grade 3,Unit 1,Teacher Guide,"End-of-unit Assessment, Problem 2",,195,Roadrunner is one word.,,2025-08-28
2025-12-06,Grade 3,Unit 1,"Student Workbook, Section B, Practice Problems",,,81,"Problem 7a has been updated from 6 flowers to 7 flowers. ""There are 7 flowers.""",,2025-11-10
2025-12-06,Grade 3,Unit 2,Teacher Guide,"Section A, Lesson 2, Cool-down",,229,The image has been updated in the digital cool-downs to fit 28 squares. The Teacher Guide does not show the new image which is slightly different.,,2025-09-08
2025-12-06,Grade 3,Unit 2,"Teacher Resource Pack, Cool-downs, Lesson 2",,,96,The image has been updated in the digital cool-downs to fit 28 squares. The Teacher Resource Pack does not show the new image which is slightly different.,,2025-09-08
2025-12-06,Grade 3,Unit 2,"Teacher Resource Pack, Use Square Tiles To Measure Area Handout",,,75,"In figure 4, the rectangle has been updated in the extracted PDF files to measure 5 inches by 6 inches.",,2025-09-08
2025-12-06,Grade 3,Unit 2,"Teacher Resource Pack, Same Rectangle, Different Units Handout",,,88-89,The grid paper has been updated in the extracted PDFs to inch and centimeter measurements.,,2025-09-08
2025-12-06,Grade 3,Unit 2,"Student Workbook, Section A, Lesson 3, Activity 2",,,13,"The question above the grid has been updated to say ""Draw a rectangle with an area of 8 square units on the grid"" to match the Teacher Guide.",,2025-09-08
2025-12-06,Grade 3,Unit 3,Teacher Guide,"Section D, Checkpoint, Problem 2c",,150,The sample student response has been updated to 8×3=24 and 138+24=162 .,,2025-09-11
2025-12-06,Grade 3,Unit 3,Teacher Guide,"Section A, Practice Problems, Problem 8",,61,"The problem has replaced 828 meters with ""about 830 meters"" to reflect the sample student response.",,2025-09-11
2025-12-06,Grade 3,Unit 3,"Student Workbook, Section A, Practice Problems, Problem 8",,,30,"The student workbook does not have the correct wording or numbers for this problem. It has been updated to ""The height of the Empire State Building in New York City is 443 meters. the Burj Khalifa (BURJZH kah-LEE-fah) in Dubai (doo-BAI) is about 830 meters. How many meters taller than the Empire State Building is the Burj Khalifa?""",,2025-09-11
2025-12-06,Grade 3,Unit 3,Teacher Guide,"Section A, Lesson 1, Activity 1",,19,The answer key for the task statement is incorrect. The groups should be: AGL; BH; CF; DIJ; EK. Sample response: I know that E and K go together because...,,2025-09-11
2025-12-06,Grade 3,Unit 3,"Student Workbook, Section B, Lesson 7, Activity 2, Problem 2",,,39,"2a and 2b 10's sticks should be switched. 2a should show 6 10's in a group, and 2b should show 5 10's in a group.",,2025-09-11
2025-12-06,Grade 3,Unit 3,"Teacher Resource Pack, End-of-unit-assessment, Problem 3",,,46,"Problem 3a is incorrect in Teacher Resource Pack, only. 374 should be 347.",,2025-09-11
2025-12-06,Grade 3,Unit 3,Teacher Guide,"Section B, Practice Problems, Problems 4 And 5",,110,"4a, 4b, and 5a have incorrect student responses in the answer key. 4a. 162, 4b. 362, 5a. 82 are the correct answers.",,2025-09-11
2025-12-06,Grade 3,Unit 3,Teacher Guide,"Section C, Lesson 15, Unit 3",,132,"The teacher guide shows the wrong unit number for lesson 15. At the bottom of page 132, it shows this: ""Grade 3 . Unit 4 . Section C . Lesson 15,"" which should be changed to ""Grade 3 . Unit 3 . Section C . Lesson 15.""",,2025-11-13
2025-12-06,Grade 3,Unit 3,Teacher Guide,"Section B, Lesson 11, Warm-up, Problem D",,96,The calculation in the sample response for Problem D has been updated in the digital version. The correct calculation should be ' 245−10=235 ' and not ' 245−10=135 '.,,2025-11-13
2025-12-06,Grade 3,Unit 4,Teacher Guide,"Section C, Lesson 12, Activity 1, Problem 3",,318,The names in the first two rows of the table were changed. Row 1 changed to Andre. Row 2 changed to Clare.,,2024-05-20
2025-12-06,Grade 3,Unit 4,"Student Workbook, Section C, Lesson 12, Activity 1, Problem 3",,,61,The names in the first two rows of the table were changed. Row 1 changed to Andre. Row 2 changed to Clare.,,2024-05-20
2025-12-06,Grade 3,Unit 4,Teacher Guide,"End-of-unit Assessment, Problem 5",,410,The expression in part a was changed to 80÷8 to better align with the standard being assessed.,,2024-09-17
2025-12-06,Grade 3,Unit 4,"Teacher Resource Pack, Cool-downs, Lesson 13",,,113,"The title has been updated to Buckets of Sunflowers, from Bags of Oranges.",,2025-09-19
2025-12-06,Grade 3,Unit 4,Teacher Guide,"Section D, Lesson 20, Activity 1",,384,Tyler's reasoning in the image is incorrect. The last equation shows 20×6=26 . It has been updated to 20+6=26 .,,2025-09-19
2025-12-06,Grade 3,Unit 4,"Student Workbook, Section D, Lesson 20, Activity 1",,,100,Tyler's reasoning in the image is incorrect. The last equation shows 20×6=26 . It has been updated to 20+6=26 .,,2025-09-19
2025-12-06,Grade 3,Unit 4,Teacher Guide,"Section C, Lesson 15, Warm-up",,336,"Figure B has been updated to represent 7×14 , not 7×13 .",,2025-12-02
2025-12-06,Grade 3,Unit 4,"Student Workbook, Section C, Lesson 15, Warm-up",,,70,"Figure B has been updated to represent 7×14 , not 7×13 .",,2025-12-02
2025-12-06,Grade 3,Unit 5,Teacher Guide,"Section C, Lesson 13, Activity 2, Student Responses In Table",,,"In the table with student responses, in Column 6, Row 6, the fraction has been updated to 36 6 , instead of 40 8 .",,2025-08-15
2025-12-06,Grade 3,Unit 5,"Teacher Resource Pack, Section C Checkpoint, Problem 1c",,,42,Option C should say 4 8 = 3 6 .,,2029-09-19
2025-12-06,Grade 3,Unit 5,Teacher Guide,"Section D, Lesson 18, Warm-up",,176,"In the number line under the image, under the marker for 1, the fraction should say 2 2 , not 3 2 .",,2025-09-19
2025-12-06,Grade 3,Unit 5,"Student Workbook, Section D, Lesson 18, Warm-up",,,89,"In the number line under the image, under the marker for 1, the fraction should say 2 2 , not 3 2 .",,2025-09-19
2025-12-06,Grade 3,Unit 5,"Student Workbook, Section D, Lesson 15, Activity 1, Problems 2 And 4",,,75,"In the ""If you have time"" section, problems 2 and 4 should have > (greater than) symbols, not < (less than).",,2025-09-19
2025-12-06,Grade 3,Unit 5,"Teacher Resource Pack, Blackline Masters. Fold And Name Handout",,,9,The blackline master has been updated to include the outer rectangle.,,2025-09-19
2025-12-06,Grade 3,Unit 6,"Student Workbook, Section A, Lesson 3, Activity 1, Activity 1",,,11,"The inchworms have been updated to reflect the following measurements: a. 4 inches, b. 5 3/4 inches, c. 2 1/4 inches, d. 3 1/2 inches or 3 2/4 inches.",,2025-03-20
2025-12-06,Grade 3,Unit 6,Teacher Guide,"Section A, Lesson 3, Activity 1, Activity 1",,237,"The inchworms have been updated to reflect the following measurements: a. 4 inches, b. 5 3/4 inches, c. 2 1/4 inches, d. 3 1/2 inches or 3 2/4 inches.",,2025-03-20
2025-12-06,Grade 3,Unit 6,Teacher Guide,"Section B, Lesson 8, Activity 1, Problem 3",,276,"The items in Problem 3 have been updated to 1. sink, 2. kiddie pool, 3. pot, 4. toilet tank. There is no issue with the Student Workbook.",,2025-10-01
2025-12-06,Grade 3,Unit 6,"Student Workbook, Section B, Practice Problems, Problem 1a",,,43,"One of the choices for 1a has been updated to ""a safety pin,"" instead of a piece of gum.",,2025-10-01
2025-12-06,Grade 3,Unit 7,"Student Workbook, Section C, Lesson 12, Activity 2, Problem 1",,,69,"The problem stem has switched the terminology of perimeter and area. It has been updated to ""Draw 2 rectangles that each have the given area but different perimeters.""",,2025-10-09
2025-12-06,Grade 4,Unit 1,"Teacher Resource Pack, Family Support Materials, Try It At Home!",,,3,"The fourth bullet is incorrect and should say ""18 is a multiple of 6 because 6×3=18 .""",,2025-08-28
2025-12-06,Grade 4,Unit 1,Teacher Guide,"Section A, Lesson 3, Activity 2, Student Response",,38,"The student response for the second question should include 11 as a prime number. 2, 11, 23, and 31.",,2025-08-28
2025-12-06,Grade 4,Unit 1,Teacher Guide,"End Of Unit Assessment, Problem 4 // Teacher Resource Pack",,89,The problem was revised for clarity.,,2025-09-10
2025-12-06,Grade 4,Unit 2,Teacher Guide,"Table Of Contents, Pg. I",,,The eBook has been updated digitally. There are 17 lessons in the unit.,,2024-07-30
2025-12-06,Grade 4,Unit 2,Teacher Guide,"Section A, Lesson 5, Activity 1",,139,The number line for part b is not correctly partitioned into fifths or tenths.,,2024-09-25
2025-12-06,Grade 4,Unit 2,"Student Workbook, Section A, Lesson 5, Activity 1, Problem 2b",,,22,The number line for part b has been correctly partitioned into fifths or tenths.,,2025-11-15
2025-12-06,Grade 4,Unit 2,Teacher Guide,"Section A, Lesson 5, Cool-down, 143",,,Updated the fraction 10 22 to 10 12 .,,2024-09-17
2025-12-06,Grade 4,Unit 3,"Student Workbook, Section A, Lesson 6, Activity 2",,,28,"Problem 3 should say ""On Wednesday, 4 customers bought 2 milkshakes each. How much milk was used?""",,2024-10-24
2025-12-06,Grade 4,Unit 3,"Student Workbook, Section C, Lesson 16, Activity 1, Problem 1",,,91,"In the second table, the third column should be labeled ""hundredths"".",,2025-09-11
2025-12-06,Grade 4,Unit 3,Teacher Guide,Unit Narrative,,3,The image should have the number line going to 4/6.,,2025-09-11
2025-12-06,Grade 4,Unit 4,Teacher Guide,"Section C, Lesson 17, Activity 1, Problem 1",,347,"Change problem 1 from ""Altitude is the vertical distance from sea level. Here are the altitudes of 10 planes."" to ""Altitude is the vertical distance from sea level. Here are the altitudes of 9 planes.""",,2024-05-28
2025-12-06,Grade 4,Unit 4,"Student Workbook, Section C, Lesson 17, Activity 1, Problem 1",,,91,"Change problem 1 from ""Altitude is the vertical distance from sea level. Here are the altitudes of 10 planes."" to ""Altitude is the vertical distance from sea level. Here are the altitudes of 9 planes.""",,2025-09-22
2025-12-06,Grade 4,Unit 4,Teacher Guide,"Section C, Lesson 16, Activity 1 Synthesis",,378,"Change ""Show the number line from the activity."" to ""Display a number line.""",,2024-05-31
2025-12-06,Grade 4,Unit 4,Teacher Guide,"Section C, Lesson 16, Activity 2",,380,"985,411 rounded to the nearest 1,000 is 985,000, and has been updated in digital.",,2025-08-15
2025-12-06,Grade 4,Unit 4,Teacher Guide,"End-of-unit Assessment, Problem 6",,451,Student direction for problem 6 now include the =.,,2025-09-22
2025-12-06,Grade 4,Unit 4,Teacher Guide,"Section C, Lesson 15, Activity 1, Problem 2",,369,"The table displays 1.000 for row 816, instead of 1,000.",,2025-09-22
2025-12-06,Grade 4,Unit 4,"Student Workbook, Section C, Lesson 15, Activity 1, Problem 2",,,80,"The table displays 1,00 for row 816, instead of 1,000.",,2025-09-22
2025-12-06,Grade 4,Unit 4,Teacher Guide,"Section D, Lesson 20, Warm-up, Problem A",,417,"In the image for problem A, the green 10 should be above the 0 (in the ones place) and the green 8 should be above the 9 (in the hundreds place). They are swapped.",,2025-09-22
2025-12-06,Grade 4,Unit 4,"Student Workbook, Section D, Lesson 20, Warm-up, Problem A",,,112,"In the image for problem A, the green 10 should be above the 0 (in the ones place) and the green 8 should be above the 9 (in the hundreds place). They are swapped.",,2025-10-24
2025-12-06,Grade 4,Unit 5,Teacher Guide,"Section B, Lesson 11, Activity 1 Student Task Statement, Problem 2",,106,The row marked as 4lb is marked as 68 oz. It should be 64 oz. Updated digitally.,,2024-10-15
2025-12-06,Grade 4,Unit 5,Teacher Guide,"End-of-unit Assessment, Problem 3",,175,The standards for Problem 3 have been updated to only include 4.OA.A.1 and 4.OA.A.2.,,2025-09-22
2025-12-06,Grade 4,Unit 5,"Student Workbook, Section C, Lesson 15, Activity 2",,,82,"The 4th clue is missing from the problem stem. It should include ""Tyler's tower is 5 times as tall as the shortest tower.""",,2025-09-22
2025-12-06,Grade 4,Unit 5,"Student Workbook, Section B, Practice Problems, Problem 4",,,70,"In parts B and C, the questions should be as follows: 4b. A three-toed sloth travels 30 meters in a day. What is the distance in centimeters? 4c. A giant tortoise travels 300 meters in a day. How many times farther than the three-toed sloth does the giant tortoise travel?",,2025-09-22
2025-12-06,Grade 4,Unit 5,Glossary,"Student Workbook, Decimal Notation",,99,2 7 100 written in decimal notation is 2.07,,2025-09-22
2025-12-06,Grade 4,Unit 5,"Student Workbook, Section C, Lesson 13, Warm-up, Problem B",,,63,Problem B has been updated to match the Teacher Guide: 8× 3 4 =12 .,,2025-09-22
2025-12-06,Grade 4,Unit 6,Glossary,Student Workbook,,99,"The glossary term ""decimal notation"" has been updated to the correct fractional equivalent of 2 7 100 .",,2025-10-01
2025-12-06,Grade 4,Unit 6,"Student Workbook, Section C, Lesson 19, Warm-up",,,94,The multiplication equation in the last row has been updated to 105=21×5 .,,2025-10-01
2025-12-06,Grade 4,Unit 6,Teacher Guide,"Section C, Lesson 19, Warm-up",,363,The multiplication equation in the last row has been updated to 105=21×5 .,,2025-10-01
2025-12-06,Grade 4,Unit 6,"Student Workbook, Section C, Lesson 16, Activity 1, Problem 2",,,84,The hundreds block has been updated to show 10 columns instead of 11 columns.,,2025-10-01
2025-12-06,Grade 4,Unit 6,Teacher Guide,"Section C, Lesson 16, Activity 1, Problem 2",,341,The hundreds block has been updated to show 10 columns instead of 11 columns.,,2025-10-01
2025-12-06,Grade 4,Unit 6,Teacher Guide,"Section A, Lesson 3, Activity 1, Problem 3c",,218,"The student sample response has been updated to 25×10=250 , 250−25=225 .",,2025-10-01
2025-12-06,Grade 4,Unit 6,"Student Workbook, Section C, Practice Problems, Problem 7",,,110,"Parts b and c have been transposed. Part b should say ""There are 637 toothpicks and 4 people. What could 637÷4 mean in this situation? What could each step you took in the algorithm mean?""",,2025-10-01
2025-12-06,Grade 4,Unit 6,Teacher Guide,"Section C, Lesson 19, Cool-down",,367,The sample student response has been updated from 8 as the divisor to 4 as the divisor.,,2025-12-05
2025-12-06,Grade 4,Unit 7,Teacher Guide,"Section A, Lesson 2, Activity 1",,29,"The student response under line segment has been updated to: D, J, L, P. The Blackline Master in the Teacher Resource Pack has also been updated. Card E says ""start at one point"". Card G says ""one dot"".",,2025-10-09
2025-12-06,Grade 4,Unit 8,Teacher Guide,"End-of-unit Assessment, Problem 4",,321,The answer key has been updated to A.,,2025-10-09
